signal,position,block,n,median,q1,q3,iqr,min_gw,max_gw
xa,DEF,first_half,1349,0.01,0.01,0.05,0.04,1,17
xa,DEF,second_half,1395,0.02,0.01,0.06,0.049999999999999996,18,38
xa,MID,first_half,1494,0.04,0.02,0.14,0.12000000000000001,1,17
xa,MID,second_half,1502,0.05,0.02,0.17,0.15000000000000002,18,38
xa,FWD,first_half,314,0.02,0.01,0.04,0.03,1,17
xa,FWD,second_half,370,0.02,0.01,0.06,0.049999999999999996,18,38
xgi,GK,first_half,340,0.0,0.0,0.0,0.0,1,17
xgi,GK,second_half,347,0.0,0.0,0.0,0.0,18,38
xgi,DEF,first_half,1349,0.04,0.01,0.13,0.12000000000000001,1,17
xgi,DEF,second_half,1395,0.06,0.01,0.15,0.13999999999999999,18,38
xgi,MID,first_half,1494,0.14,0.05,0.32,0.27,1,17
xgi,MID,second_half,1502,0.18,0.06,0.36,0.3,18,38
xgi,FWD,first_half,314,0.275,0.0925,0.6074999999999999,0.5149999999999999,1,17
xgi,FWD,second_half,370,0.305,0.13,0.5974999999999999,0.4674999999999999,18,38
xgc,GK,first_half,340,1.205,0.71,1.8625,1.1525,1,17
xgc,GK,second_half,347,1.35,0.895,1.95,1.055,18,38
xgc,DEF,first_half,1349,1.18,0.69,1.81,1.12,1,17
xgc,DEF,second_half,1395,1.28,0.85,1.8650000000000002,1.0150000000000001,18,38
xgc,MID,first_half,1494,1.07,0.56,1.6,1.04,1,17
xgc,MID,second_half,1502,1.18,0.78,1.77,0.99,18,38
xgc,FWD,first_half,314,0.98,0.59,1.56,0.9700000000000001,1,17
xgc,FWD,second_half,370,1.145,0.7024999999999999,1.6875,0.9850000000000001,18,38
fdr_avg,GK,first_half,340,3.0,3.0,3.0,0.0,1,17
fdr_avg,GK,second_half,347,3.0,3.0,3.0,0.0,18,38
fdr_avg,DEF,first_half,1349,3.0,3.0,3.0,0.0,1,17
fdr_avg,DEF,second_half,1395,3.0,3.0,3.0,0.0,18,38
fdr_avg,MID,first_half,1494,3.0,3.0,3.0,0.0,1,17
fdr_avg,MID,second_half,1502,3.0,3.0,3.0,0.0,18,38
fdr_avg,FWD,first_half,314,3.0,3.0,3.0,0.0,1,17
fdr_avg,FWD,second_half,370,3.0,3.0,3.0,0.0,18,38
fdr_min,GK,first_half,340,3.0,3.0,3.0,0.0,1,17
fdr_min,GK,second_half,347,3.0,3.0,3.0,0.0,18,38
fdr_min,DEF,first_half,1349,3.0,3.0,3.0,0.0,1,17
fdr_min,DEF,second_half,1395,3.0,3.0,3.0,0.0,18,38
fdr_min,MID,first_half,1494,3.0,3.0,3.0,0.0,1,17
fdr_min,MID,second_half,1502,3.0,3.0,3.0,0.0,18,38
fdr_min,FWD,first_half,314,3.0,3.0,3.0,0.0,1,17
fdr_min,FWD,second_half,370,3.0,3.0,3.0,0.0,18,38
fdr_max,GK,first_half,340,3.0,3.0,3.0,0.0,1,17
fdr_max,GK,second_half,347,3.0,3.0,3.0,0.0,18,38
fdr_max,DEF,first_half,1349,3.0,3.0,3.0,0.0,1,17
fdr_max,DEF,second_half,1395,3.0,3.0,3.0,0.0,18,38
fdr_max,MID,first_half,1494,3.0,3.0,3.0,0.0,1,17
fdr_max,MID,second_half,1502,3.0,3.0,3.0,0.0,18,38
fdr_max,FWD,first_half,314,3.0,3.0,3.0,0.0,1,17
fdr_max,FWD,second_half,370,3.0,3.0,3.0,0.0,18,38
transfers_balance,GK,first_half,340,-34.5,-12278.0,23903.25,36181.25,1,17
transfers_balance,GK,second_half,347,-122.0,-14323.0,11830.5,26153.5,18,38
transfers_balance,DEF,first_half,1349,0.0,-4712.0,11112.0,15824.0,1,17
transfers_balance,DEF,second_half,1395,378.0,-2293.5,8612.0,10905.5,18,38
transfers_balance,MID,first_half,1494,0.0,-3862.25,5000.0,8862.25,1,17
