signal,position,scope,signal_family,n,mean,median,std,iqr,cv,skew,p25,p75,p90,zero_rate,null_rate
threat,DEF,conditioned,attacking,2214,6.83243,4.0,10.128787,8.0,1.4825,2.65,0.0,8.0,19.0,0.2949,0.0
threat,MID,conditioned,attacking,2412,13.488806,8.0,14.922011,18.0,1.1063,1.733,2.0,20.0,35.0,0.1434,0.0
threat,FWD,conditioned,attacking,557,26.770197,21.0,22.89484,30.0,0.8552,1.456,9.0,39.0,57.0,0.0287,0.0
clean_sheets,GK,conditioned,defensive,553,0.251356,0.0,0.434186,1.0,1.7274,1.149,0.0,1.0,1.0,0.7486,0.0
clean_sheets,DEF,conditioned,defensive,2214,0.271003,0.0,0.444578,1.0,1.6405,1.031,0.0,1.0,1.0,0.729,0.0
clean_sheets,MID,conditioned,defensive,2412,0.298093,0.0,0.457515,1.0,1.5348,0.883,0.0,1.0,1.0,0.7019,0.0
clean_sheets,FWD,conditioned,defensive,557,0.314183,0.0,0.464607,1.0,1.4788,0.803,0.0,1.0,1.0,0.6858,0.0
goals_conceded,GK,conditioned,defensive,553,1.412297,1.0,1.138901,1.0,0.8064,0.576,1.0,2.0,3.0,0.2441,0.0
goals_conceded,DEF,conditioned,defensive,2214,1.328817,1.0,1.113655,2.0,0.8381,0.64,0.0,2.0,3.0,0.2651,0.0
goals_conceded,MID,conditioned,defensive,2412,1.221808,1.0,1.070383,2.0,0.8761,0.712,0.0,2.0,3.0,0.291,0.0
goals_conceded,FWD,conditioned,defensive,557,1.181329,1.0,1.051451,2.0,0.8901,0.723,0.0,2.0,3.0,0.3034,0.0
saves,GK,conditioned,defensive,553,2.866184,3.0,1.764227,2.0,0.6155,0.81,2.0,4.0,5.0,0.0723,0.0
saves,DEF,conditioned,defensive,2214,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
saves,MID,conditioned,defensive,2412,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
saves,FWD,conditioned,defensive,557,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
xgc,GK,conditioned,defensive,553,1.433436,1.33,0.796615,1.08,0.5557,0.813,0.84,1.92,2.458,0.0,0.0
xgc,DEF,conditioned,defensive,2214,1.379864,1.27,0.788951,1.09,0.5718,0.848,0.79,1.88,2.42,0.0009,0.0
xgc,MID,conditioned,defensive,2412,1.252371,1.14,0.728976,1.05,0.5821,0.756,0.68,1.73,2.24,0.0012,0.0
xgc,FWD,conditioned,defensive,557,1.237666,1.09,0.758685,1.02,0.613,0.953,0.66,1.68,2.2540000000000004,0.0018,0.0
penalties_saved,GK,conditioned,defensive,553,0.014467,0.0,0.119512,0.0,8.2613,8.155,0.0,0.0,0.0,0.9855,0.0
penalties_saved,DEF,conditioned,defensive,2214,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
penalties_saved,MID,conditioned,defensive,2412,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
penalties_saved,FWD,conditioned,defensive,557,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
own_goals,GK,conditioned,discipline,553,0.007233,0.0,0.084817,0.0,11.726,11.662,0.0,0.0,0.0,0.9928,0.0
own_goals,DEF,conditioned,discipline,2214,0.009033,0.0,0.099296,0.0,10.992,11.737,0.0,0.0,0.0,0.9914,0.0
own_goals,MID,conditioned,discipline,2412,0.001244,0.0,0.035253,0.0,28.3431,28.32,0.0,0.0,0.0,0.9988,0.0
own_goals,FWD,conditioned,discipline,557,0.001795,0.0,0.042371,0.0,23.6008,23.601,0.0,0.0,0.0,0.9982,0.0
minutes,GK,conditioned,exposure,553,91.253165,90.0,10.792556,0.0,0.1183,8.077,90.0,90.0,90.0,0.0,0.0
minutes,DEF,conditioned,exposure,2214,88.858627,90.0,12.044216,0.0,0.1355,4.866,90.0,90.0,90.0,0.0,0.0
minutes,MID,conditioned,exposure,2412,84.184494,90.0,12.531617,13.0,0.1489,2.595,77.0,90.0,90.0,0.0,0.0
minutes,FWD,conditioned,exposure,557,82.881508,86.0,15.163152,16.0,0.1829,3.028,74.0,90.0,90.0,0.0,0.0
starts,GK,conditioned,exposure,553,1.014467,1.0,0.119512,0.0,0.1178,8.155,1.0,1.0,1.0,0.0,0.0
starts,DEF,conditioned,exposure,2214,1.010388,1.0,0.132345,0.0,0.131,4.251,1.0,1.0,1.0,0.0036,0.0
starts,MID,conditioned,exposure,2412,1.002488,1.0,0.131962,0.0,0.1316,1.027,1.0,1.0,1.0,0.0075,0.0
starts,FWD,conditioned,exposure,557,1.012567,1.0,0.140093,0.0,0.1384,4.325,1.0,1.0,1.0,0.0036,0.0
fdr_avg,GK,conditioned,fixture,553,3.037975,3.0,0.835905,0.0,0.2752,-0.109,3.0,3.0,4.0,0.0,0.0
fdr_avg,DEF,conditioned,fixture,2214,3.045167,3.0,0.843353,0.0,0.2769,-0.1,3.0,3.0,4.0,0.0,0.0
fdr_avg,MID,conditioned,fixture,2412,3.032546,3.0,0.834176,0.0,0.2751,-0.13,3.0,3.0,4.0,0.0,0.0
fdr_avg,FWD,conditioned,fixture,557,2.986535,3.0,0.807061,0.0,0.2702,-0.203,3.0,3.0,4.0,0.0,0.0
fdr_min,GK,conditioned,fixture,553,3.028933,3.0,0.842203,0.0,0.2781,-0.11,3.0,3.0,4.0,0.0,0.0
fdr_min,DEF,conditioned,fixture,2214,3.033875,3.0,0.850948,0.0,0.2805,-0.1,3.0,3.0,4.0,0.0,0.0
fdr_min,MID,conditioned,fixture,2412,3.021973,3.0,0.84065,0.0,0.2782,-0.125,3.0,3.0,4.0,0.0,0.0
fdr_min,FWD,conditioned,fixture,557,2.974865,3.0,0.813165,0.0,0.2733,-0.196,3.0,3.0,4.0,0.0,0.0
fdr_max,GK,conditioned,fixture,553,3.047016,3.0,0.83923,0.0,0.2754,-0.126,3.0,3.0,4.0,0.0,0.0
fdr_max,DEF,conditioned,fixture,2214,3.056459,3.0,0.847618,0.0,0.2773,-0.121,3.0,3.0,4.0,0.0,0.0
fdr_max,MID,conditioned,fixture,2412,3.043118,3.0,0.8381,0.0,0.2754,-0.149,3.0,3.0,4.0,0.0,0.0
fdr_max,FWD,conditioned,fixture,557,2.998205,3.0,0.812446,0.0,0.271,-0.219,3.0,3.0,4.0,0.0,0.0
was_home,GK,conditioned,fixture,545,0.502752,1.0,0.500452,1.0,0.9954,-0.011,0.0,1.0,1.0,0.4972,0.0145
was_home,DEF,conditioned,fixture,2176,0.50046,1.0,0.500115,1.0,0.9993,-0.002,0.0,1.0,1.0,0.4995,0.0172
was_home,MID,conditioned,fixture,2366,0.504649,1.0,0.500084,1.0,0.991,-0.019,0.0,1.0,1.0,0.4954,0.0191
was_home,FWD,conditioned,fixture,546,0.516484,1.0,0.500186,1.0,0.9684,-0.066,0.0,1.0,1.0,0.4835,0.0197
is_dgw,GK,conditioned,fixture,553,0.014467,0.0,0.119512,0.0,8.2613,8.155,0.0,0.0,0.0,0.9855,0.0
is_dgw,DEF,conditioned,fixture,2214,0.017164,0.0,0.12991,0.0,7.569,7.44,0.0,0.0,0.0,0.9828,0.0
is_dgw,MID,conditioned,fixture,2412,0.019071,0.0,0.136804,0.0,7.1733,7.037,0.0,0.0,0.0,0.9809,0.0
is_dgw,FWD,conditioned,fixture,557,0.019749,0.0,0.13926,0.0,7.0516,6.922,0.0,0.0,0.0,0.9803,0.0
fixture_count,GK,conditioned,fixture,553,1.014467,1.0,0.119512,0.0,0.1178,8.155,1.0,1.0,1.0,0.0,0.0
fixture_count,DEF,conditioned,fixture,2214,1.017164,1.0,0.12991,0.0,0.1277,7.44,1.0,1.0,1.0,0.0,0.0
fixture_count,MID,conditioned,fixture,2412,1.019071,1.0,0.136804,0.0,0.1342,7.037,1.0,1.0,1.0,0.0,0.0
fixture_count,FWD,conditioned,fixture,557,1.019749,1.0,0.13926,0.0,0.1366,6.922,1.0,1.0,1.0,0.0,0.0
transfers_in,GK,conditioned,market,553,36804.327306,16727.0,57244.122854,38018.0,1.5554,3.849,5731.0,43749.0,85967.20000000001,0.0,0.0
transfers_in,DEF,conditioned,market,2214,36499.97019,7349.5,86597.176155,26840.0,2.3725,5.126,1655.75,28495.75,93868.5,0.0005,0.0
transfers_in,MID,conditioned,market,2412,46708.921227,5316.0,124952.292505,31462.5,2.6751,5.966,1047.75,32510.25,118335.7,0.0,0.0
transfers_in,FWD,conditioned,market,557,96904.143627,21959.0,193565.88808,89873.0,1.9975,3.852,5273.0,95146.0,251151.40000000034,0.0,0.0
transfers_out,GK,conditioned,market,553,31300.110307,20129.0,42130.005277,31615.0,1.346,6.027,7774.0,39389.0,75315.0,0.0,0.0
