signal,position,scope,signal_family,n,mean,median,std,iqr,cv,skew,p25,p75,p90,zero_rate,null_rate
starts,GK,active,exposure,561,1.005348,1.0,0.152268,0.0,0.1515,1.417,1.0,1.0,1.0,0.0089,0.0
starts,DEF,active,exposure,2882,0.819917,1.0,0.411369,0.0,0.5017,-1.191,1.0,1.0,1.0,0.1908,0.0
starts,MID,active,exposure,3918,0.679173,1.0,0.479799,1.0,0.7064,-0.601,0.0,1.0,1.0,0.327,0.0
starts,FWD,active,exposure,1049,0.587226,1.0,0.509704,1.0,0.868,-0.159,0.0,1.0,1.0,0.4214,0.0
fdr_avg,GK,active,fixture,561,3.039216,3.0,0.830917,0.0,0.2734,-0.111,3.0,3.0,4.0,0.0,0.0
fdr_avg,DEF,active,fixture,2882,3.036433,3.0,0.83624,0.0,0.2754,-0.097,3.0,3.0,4.0,0.0,0.0
fdr_avg,MID,active,fixture,3918,3.036243,3.0,0.838406,0.0,0.2761,-0.117,3.0,3.0,4.0,0.0,0.0
fdr_avg,FWD,active,fixture,1049,3.037178,3.0,0.832057,0.0,0.274,-0.07,3.0,3.0,4.0,0.0,0.0
fdr_min,GK,active,fixture,561,3.030303,3.0,0.837177,0.0,0.2763,-0.112,3.0,3.0,4.0,0.0,0.0
fdr_min,DEF,active,fixture,2882,3.026371,3.0,0.843127,0.0,0.2786,-0.099,3.0,3.0,4.0,0.0,0.0
fdr_min,MID,active,fixture,3918,3.026544,3.0,0.845061,0.0,0.2792,-0.116,3.0,3.0,4.0,0.0,0.0
fdr_min,FWD,active,fixture,1049,3.025739,3.0,0.840475,0.0,0.2778,-0.078,3.0,3.0,4.0,0.0,0.0
fdr_max,GK,active,fixture,561,3.048128,3.0,0.834203,0.0,0.2737,-0.128,3.0,3.0,4.0,0.0,0.0
fdr_max,DEF,active,fixture,2882,3.046495,3.0,0.840193,0.0,0.2758,-0.116,3.0,3.0,4.0,0.0,0.0
fdr_max,MID,active,fixture,3918,3.045942,3.0,0.841806,0.0,0.2764,-0.136,3.0,3.0,4.0,0.0,0.0
fdr_max,FWD,active,fixture,1049,3.048618,3.0,0.836044,0.0,0.2742,-0.092,3.0,3.0,4.0,0.0,0.0
was_home,GK,active,fixture,553,0.499096,0.0,0.500452,1.0,1.0027,0.004,0.0,1.0,1.0,0.5009,0.0143
was_home,DEF,active,fixture,2837,0.496651,0.0,0.500077,1.0,1.0069,0.013,0.0,1.0,1.0,0.5033,0.0156
was_home,MID,active,fixture,3854,0.503892,1.0,0.50005,1.0,0.9924,-0.016,0.0,1.0,1.0,0.4961,0.0163
was_home,FWD,active,fixture,1030,0.51068,1.0,0.500129,1.0,0.9793,-0.043,0.0,1.0,1.0,0.4893,0.0181
is_dgw,GK,active,fixture,561,0.01426,0.0,0.118668,0.0,8.3216,8.216,0.0,0.0,0.0,0.9857,0.0
is_dgw,DEF,active,fixture,2882,0.015614,0.0,0.123999,0.0,7.9414,7.818,0.0,0.0,0.0,0.9844,0.0
is_dgw,MID,active,fixture,3918,0.016335,0.0,0.126776,0.0,7.7611,7.634,0.0,0.0,0.0,0.9837,0.0
is_dgw,FWD,active,fixture,1049,0.018112,0.0,0.133422,0.0,7.3663,7.237,0.0,0.0,0.0,0.9819,0.0
fixture_count,GK,active,fixture,561,1.01426,1.0,0.118668,0.0,0.117,8.216,1.0,1.0,1.0,0.0,0.0
fixture_count,DEF,active,fixture,2882,1.015614,1.0,0.123999,0.0,0.1221,7.818,1.0,1.0,1.0,0.0,0.0
fixture_count,MID,active,fixture,3918,1.016335,1.0,0.126776,0.0,0.1247,7.634,1.0,1.0,1.0,0.0,0.0
fixture_count,FWD,active,fixture,1049,1.018112,1.0,0.133422,0.0,0.131,7.237,1.0,1.0,1.0,0.0,0.0
transfers_in,GK,active,market,561,36407.983957,16558.0,56948.730628,37991.0,1.5642,3.871,5516.0,43507.0,85544.0,0.0,0.0
transfers_in,DEF,active,market,2882,30241.482304,4606.5,78749.33279,20843.75,2.604,5.616,960.5,21804.25,75659.80000000009,0.0007,0.0
transfers_in,MID,active,market,3918,31693.312915,2254.5,102549.154724,14484.75,3.2357,7.216,455.0,14939.75,70168.70000000003,0.001,0.0
transfers_in,FWD,active,market,1049,59859.342231,8470.0,153738.29778,38636.0,2.5683,5.084,1832.0,40468.0,148751.40000000002,0.001,0.0
transfers_out,GK,active,market,561,30959.702317,19921.0,41935.198424,31697.0,1.3545,6.045,7493.0,39190.0,75195.0,0.0,0.0
transfers_out,DEF,active,market,2882,20496.846634,5017.5,43336.776688,18440.75,2.1143,5.369,1062.0,19502.75,56433.200000000004,0.0003,0.0
transfers_out,MID,active,market,3918,24030.186575,2775.0,72164.226148,14587.25,3.0031,7.413,537.5,15124.75,56892.100000000064,0.0008,0.0
transfers_out,FWD,active,market,1049,50236.447092,9785.0,120674.364407,40997.0,2.4021,5.893,2210.0,43207.0,115677.20000000003,0.001,0.0
transfers_balance,GK,active,market,561,6397.358289,-314.0,69655.249976,27147.0,10.8881,0.737,-13508.0,13639.0,60409.0,0.0,0.0
transfers_balance,DEF,active,market,2882,10528.471895,-1.0,84871.270921,8425.75,8.0611,4.043,-3056.25,5369.5,42170.5,0.001,0.0
transfers_balance,MID,active,market,3918,8290.976774,-39.5,117400.872218,3573.5,14.1601,3.183,-2053.0,1520.5,32267.40000000003,0.0018,0.0
transfers_balance,FWD,active,market,1049,11363.351764,-384.0,188967.798893,15251.0,16.6296,1.467,-9269.0,5982.0,86997.20000000007,0.001,0.0
ownership_count,GK,active,market,561,1056633.0,730213.0,1152615.18494,1023670.0,1.0908,1.851,255666.0,1279336.0,1968406.0,0.0,0.0
ownership_count,DEF,active,market,2882,495626.37127,134531.5,895138.686366,467547.75,1.8061,3.043,27132.0,494679.75,1423219.9,0.0003,0.0
ownership_count,MID,active,market,3918,379504.845584,50608.0,895874.235066,268309.75,2.3606,4.242,11659.25,279969.0,1060357.500000001,0.0008,0.0
ownership_count,FWD,active,market,1049,865322.699714,153086.0,1724204.904763,828569.0,1.9926,3.193,46562.0,875131.0,2380692.6000000066,0.001,0.0
purchase_price,GK,active,market,561,4.805169,4.8,0.521665,0.6,0.1086,0.301,4.5,5.1,5.6,0.0,0.0
purchase_price,DEF,active,market,2882,4.67984,4.5,0.586591,0.7,0.1253,0.956,4.3,5.0,5.5,0.0,0.0
purchase_price,MID,active,market,3918,5.726519,5.4,1.206655,1.3,0.2107,2.707,4.9,6.2,7.1,0.0,0.0
purchase_price,FWD,active,market,1049,6.409152,5.8,1.807151,1.8,0.282,2.646,5.4,7.2,8.5,0.0,0.0
yellow_cards,GK,active,discipline,561,0.067736,0.0,0.251517,0.0,3.7132,3.45,0.0,0.0,0.0,0.9323,0.0
yellow_cards,DEF,active,discipline,2882,0.148161,0.0,0.355321,0.0,2.3982,1.982,0.0,0.0,1.0,0.8518,0.0
yellow_cards,MID,active,discipline,3918,0.126595,0.0,0.333328,0.0,2.633,2.267,0.0,0.0,1.0,0.8737,0.0
yellow_cards,FWD,active,discipline,1049,0.083889,0.0,0.277354,0.0,3.3062,3.006,0.0,0.0,0.0,0.9161,0.0
red_cards,GK,active,discipline,561,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
red_cards,DEF,active,discipline,2882,0.00694,0.0,0.083029,0.0,11.9645,11.885,0.0,0.0,0.0,0.9931,0.0
red_cards,MID,active,discipline,3918,0.003063,0.0,0.055265,0.0,18.0439,17.993,0.0,0.0,0.0,0.9969,0.0
red_cards,FWD,active,discipline,1049,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
penalties_missed,GK,active,discipline,561,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
penalties_missed,DEF,active,discipline,2882,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
penalties_missed,MID,active,discipline,3918,0.001021,0.0,0.03194,0.0,31.285,31.261,0.0,0.0,0.0,0.999,0.0
penalties_missed,FWD,active,discipline,1049,0.006673,0.0,0.081454,0.0,12.2065,12.136,0.0,0.0,0.0,0.9933,0.0
in_dreamteam,GK,active,discipline,561,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
in_dreamteam,DEF,active,discipline,2882,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
in_dreamteam,MID,active,discipline,3918,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
in_dreamteam,FWD,active,discipline,1049,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
