signal,position,population_scope,population_robustness,signal_layer,layer_role,feature_candidate_eligible,downstream_status,interpretation_caveat,variable_level,preferred_population,bucketing_scheme,n_records,zero_fraction,active_bin_count,effective_n_per_bin,q1_q5_mean_gap,relationship_geometry,monotonicity_confidence,low_confidence,support_flags,support_type,temporal_stability,rho_pooled,rho_between,rho_within,within_share,panel_class,decomposition_flag,n_players,rho_full,rho_no_haul,rho_drop,haul_pct,n_haul,tail_sensitive,association_class,promotion_class
xgc,FWD,primary,untested,defensive_context,defensive_environment,False,caveated,"team/fixture defensive context, not attacking performance",player_level,both,quantile,1124,0.049,5.0,224.8,,indeterminate,,False,,,insufficient_data,0.3801,0.6846,0.1421,0.374,mixed,,62,0.3801,0.3832,-0.0032,2.85,32,False,weak_association,review_signal
xgc,GK,primary,untested,defensive_context,defensive_environment,False,caveated,"team/fixture defensive context, not attacking performance",player_level,both,quantile,596,0.003,5.0,119.2,,non_monotonic,,False,,,insufficient_data,-0.2099,-0.2406,-0.1875,0.893,state_sensitive,,37,-0.2099,-0.2234,0.0135,0.84,5,False,weak_association,review_signal
xgc,MID,primary,untested,defensive_context,defensive_environment,False,caveated,"team/fixture defensive context, not attacking performance",player_level,both,quantile,4140,0.046,5.0,828.0,2.078,monotonic_positive,0.647,True,,,stable,0.3679,0.7107,0.1951,0.53,state_sensitive,,239,0.3679,0.3716,-0.0037,1.64,68,False,weak_association,review_signal
xgi,DEF,primary,untested,performance,attacking_chance_quality,True,blocked,position-sensitive support required,player_level,both,quantile,3060,0.238,,,,indeterminate,,False,degenerate,near_constant_position,insufficient_data,0.3137,0.5962,0.2592,0.826,state_sensitive,,180,0.3137,0.2881,0.0256,1.57,48,False,weak_association,
xgi,FWD,primary,untested,performance,attacking_chance_quality,True,caveated,position-sensitive support required,player_level,exposure_conditioned,quantile,596,0.039,5.0,119.2,5.12,monotonic_positive,0.927,False,,,stable,0.4978,0.5882,0.5025,,indeterminate,unstable_ratio,50,0.4978,0.4269,0.0709,5.37,32,False,weak_association,review_signal
xgi,GK,primary,untested,performance,attacking_chance_quality,True,caveated,position-sensitive support required,player_level,both,discrete,596,0.889,2.0,298.0,,indeterminate,,False,,,insufficient_data,-0.0388,0.3702,0.0011,0.028,identity_dominant,,37,-0.0388,-0.034,-0.0048,0.84,5,False,weak_association,review_signal
xgi,MID,primary,untested,performance,attacking_chance_quality,True,eligible,position-sensitive support required,player_level,both,quantile,4140,0.141,5.0,828.0,3.899,monotonic_positive,1.0,False,,,stable,0.5095,0.819,0.4066,0.798,state_sensitive,,239,0.5095,0.4911,0.0184,1.64,68,False,continuous_monotonic,core_signal
yellow_cards,DEF,primary,untested,discipline,negative_event,True,caveated,sparse/low-frequency caveats apply,player_level,both,discrete,3060,0.85,2.0,1530.0,,indeterminate,,False,,,insufficient_data,-0.1784,0.2762,-0.1183,0.663,state_sensitive,,180,-0.1784,-0.1766,-0.0018,1.57,48,False,weak_association,review_signal
yellow_cards,FWD,primary,untested,discipline,negative_event,True,caveated,sparse/low-frequency caveats apply,player_level,both,discrete,1124,0.911,2.0,562.0,,indeterminate,,False,,,insufficient_data,-0.0126,0.3612,0.0628,,indeterminate,unstable_ratio,62,-0.0126,-0.0145,0.0019,2.85,32,False,weak_association,review_signal
yellow_cards,GK,primary,untested,discipline,negative_event,True,caveated,sparse/low-frequency caveats apply,player_level,both,discrete,596,0.93,2.0,298.0,,indeterminate,,False,,,insufficient_data,-0.1558,0.0164,-0.0754,0.484,state_sensitive,,37,-0.1558,-0.1537,-0.002,0.84,5,False,weak_association,review_signal
yellow_cards,MID,primary,untested,discipline,negative_event,True,caveated,sparse/low-frequency caveats apply,player_level,both,discrete,4140,0.872,2.0,1380.0,-2.067,monotonic_negative,0.617,True,,,moderate_shift,-0.1297,0.4009,-0.1077,0.83,state_sensitive,,239,-0.1297,-0.1232,-0.0065,1.64,68,False,weak_association,review_signal
