signal_a,signal_b,position,rho
fdr_max,xa,DEF,-0.1698
fdr_max,xg,DEF,-0.1216
fdr_max,xgc,DEF,0.297
fdr_max,xgi,DEF,-0.1694
fdr_max,yellow_cards,DEF,0.0538
fdr_min,fixture_count,DEF,
fdr_min,goals_conceded,DEF,0.2485
fdr_min,goals_scored,DEF,-0.0384
fdr_min,ict_index,DEF,-0.1581
fdr_min,influence,DEF,-0.0668
fdr_min,minutes,DEF,0.0033
fdr_min,ownership_count,DEF,-0.0615
fdr_min,purchase_price,DEF,-0.0392
fdr_min,red_cards,DEF,-0.0184
fdr_min,saves,DEF,
fdr_min,starts,DEF,-0.0161
fdr_min,threat,DEF,-0.1227
fdr_min,transfers_balance,DEF,-0.2622
fdr_min,transfers_in,DEF,-0.1857
fdr_min,transfers_out,DEF,0.0071
fdr_min,was_home,DEF,-0.3509
fdr_min,xa,DEF,-0.1698
fdr_min,xg,DEF,-0.1216
fdr_min,xgc,DEF,0.297
fdr_min,xgi,DEF,-0.1694
fdr_min,yellow_cards,DEF,0.0538
fixture_count,goals_conceded,DEF,
fixture_count,goals_scored,DEF,
fixture_count,ict_index,DEF,
fixture_count,influence,DEF,
fixture_count,minutes,DEF,
fixture_count,ownership_count,DEF,
fixture_count,purchase_price,DEF,
fixture_count,red_cards,DEF,
fixture_count,saves,DEF,
fixture_count,starts,DEF,
fixture_count,threat,DEF,
fixture_count,transfers_balance,DEF,
fixture_count,transfers_in,DEF,
fixture_count,transfers_out,DEF,
fixture_count,was_home,DEF,
fixture_count,xa,DEF,
fixture_count,xg,DEF,
fixture_count,xgc,DEF,
fixture_count,xgi,DEF,
fixture_count,yellow_cards,DEF,
goals_conceded,goals_scored,DEF,-0.0352
goals_conceded,ict_index,DEF,-0.0395
goals_conceded,influence,DEF,-0.0304
goals_conceded,minutes,DEF,0.0247
goals_conceded,ownership_count,DEF,-0.0748
goals_conceded,purchase_price,DEF,-0.1281
goals_conceded,red_cards,DEF,0.0133
goals_conceded,saves,DEF,
goals_conceded,starts,DEF,0.0083
goals_conceded,threat,DEF,-0.0215
goals_conceded,transfers_balance,DEF,-0.0937
goals_conceded,transfers_in,DEF,-0.0924
goals_conceded,transfers_out,DEF,-0.0382
goals_conceded,was_home,DEF,-0.127
goals_conceded,xa,DEF,-0.0466
goals_conceded,xg,DEF,-0.0411
goals_conceded,xgc,DEF,0.5033
goals_conceded,xgi,DEF,-0.0515
goals_conceded,yellow_cards,DEF,0.0419
goals_scored,ict_index,DEF,0.3132
goals_scored,influence,DEF,0.3228
goals_scored,minutes,DEF,-0.0167
goals_scored,ownership_count,DEF,0.0586
goals_scored,purchase_price,DEF,0.0724
goals_scored,red_cards,DEF,0.0192
goals_scored,saves,DEF,
goals_scored,starts,DEF,0.015
goals_scored,threat,DEF,0.3091
goals_scored,transfers_balance,DEF,-0.0002
goals_scored,transfers_in,DEF,0.0554
goals_scored,transfers_out,DEF,0.0606
goals_scored,was_home,DEF,0.0018
goals_scored,xa,DEF,-0.0109
goals_scored,xg,DEF,0.3289
goals_scored,xgc,DEF,-0.0314
goals_scored,xgi,DEF,0.2561
goals_scored,yellow_cards,DEF,-0.0224
ict_index,influence,DEF,0.7163
ict_index,minutes,DEF,0.1695
ict_index,ownership_count,DEF,0.1386
ict_index,purchase_price,DEF,0.1235
ict_index,red_cards,DEF,-0.0418
ict_index,saves,DEF,
ict_index,starts,DEF,0.0382
ict_index,threat,DEF,0.5493
ict_index,transfers_balance,DEF,0.115
ict_index,transfers_in,DEF,0.1706
ict_index,transfers_out,DEF,0.0995
ict_index,was_home,DEF,0.0756
ict_index,xa,DEF,0.4802
ict_index,xg,DEF,0.4202
ict_index,xgc,DEF,-0.0803
ict_index,xgi,DEF,0.6247
ict_index,yellow_cards,DEF,-0.0371
influence,minutes,DEF,0.2721
influence,ownership_count,DEF,0.1129
influence,purchase_price,DEF,0.0608
influence,red_cards,DEF,-0.047
influence,saves,DEF,
influence,starts,DEF,0.0449
influence,threat,DEF,0.1516
influence,transfers_balance,DEF,0.0687
influence,transfers_in,DEF,0.1377
influence,transfers_out,DEF,0.0969
influence,was_home,DEF,-0.0106
influence,xa,DEF,0.1131
influence,xg,DEF,0.1271
influence,xgc,DEF,0.0387
influence,xgi,DEF,0.1906
influence,yellow_cards,DEF,-0.0762
minutes,ownership_count,DEF,0.1549
minutes,purchase_price,DEF,0.0649
minutes,red_cards,DEF,-0.1066
minutes,saves,DEF,
minutes,starts,DEF,0.1725
minutes,threat,DEF,0.0351
minutes,transfers_balance,DEF,0.021
minutes,transfers_in,DEF,0.1468
